NIGHTS_STAY_KEY,NIGHTS_STAY_ID,ID_FRONTUR,NIGHTS_STAY_DES,LOAD_TIME
-3,*********,-2,No Informado,
1,1 Noche,2,1 Noche,
2,2 Noches,-2,2 Noches,
3,3 Noches,-2,3 Noches,
4,4 Noches,-2,4 Noches,
5,5 Noches,-2,5 Noches,
6,6 Noches,-2,6 Noches,
7,7 Noches,-2,7 Noches,
8,8 Noches,-2,8 Noches,
9,9 Noches,-2,9 Noches,
10,10 Noches,-2,10 Noches,
11,11 Noches,-2,11 Noches,
12,12 Noches,-2,12 Noches,
13,13 noches y mas,-2,13 noches y más,
14,@@@@@@@@@@,1,Ninguna noche,
15,@@@@@@@@@@,3,De 2 a 3 Noches,
16,@@@@@@@@@@,4,De 4 a 7 Noches,
17,@@@@@@@@@@,5,De 8 a 15 Noches,
18,@@@@@@@@@@,6,Más de 15 Noches,
