NIGHTS_STAY_KEY,LANGUAGE_KEY,NIGHTS_STAY_DES
-3,1,No Informado
1,1,1 Noche
2,1,2 Noches
3,1,3 Noches
4,1,4 Noches
5,1,5 Noches
6,1,6 Noches
7,1,7 Noches
8,1,8 Noches
9,1,9 Noches
10,1,10 Noches
11,1,11 Noches
12,1,12 Noches
13,1,13 Noches y más
14,1,Ninguna noche
15,1,De 2 a 3 Noches
16,1,De 4 a 7 Noches
17,1,De 8 a 15 Noches
18,1,Más de 15 Noches
-3,2,Not Informed
1,2,1 Night
2,2,2 Nights
3,2,3 Nights
4,2,4 Nights
5,2,5 Nights
6,2,6 Nights
7,2,7 Nights
8,2,8 Nights
9,2,9 Nights
10,2,10 Nights
11,2,11 Nights
12,2,12 Nights
13,2,13 Nights and more
14,2,No night
15,2,From 2 to 3 nights
16,2,From 4 to 7 nights
17,2,From 8 to 15 nights
18,2,More than 15 nights
-3,3,No Informat
1,3,1 Nit
2,3,2 Nits
3,3,3 Nits
4,3,4 Nits
5,3,5 Nits
6,3,6 Nits
7,3,7 Nits
8,3,8 Nits
9,3,9 Nits
10,3,10 Nits
11,3,11 Nits
12,3,12 Nits
13,3,13 Nits i més
14,3,Cap nit
15,3,De 2 a 3 Nits
16,3,De 4 a 7 Nits
17,3,De 8 a 15 Nits
18,3,Més de 15 Nits
