NIGHTS_STAY_KEY,LANGUAGE_KEY,NIGHTS_STAY_DES
-3,1,No Informado
1,1,1 Noche
2,1,2 Noches
3,1,3 Noches
4,1,4 Noches
5,1,5 Noches
6,1,6 Noches
7,1,7 Noches
8,1,8 Noches
9,1,9 Noches
10,1,10 Noches
11,1,11 Noches
12,1,12 Noches
13,1,13 Noches y más
-3,3,Not Informed
1,3,1 Night
2,3,2 Nights
3,3,3 Nights
4,3,4 Nights
5,3,5 Nights
6,3,6 Nights
7,3,7 Nights
8,3,8 Nights
9,3,9 Nights
10,3,10 Nights
11,3,11 Nights
12,3,12 Nights
13,3,13 Nights and more
-3,2,No Informat
1,2,1 Nit
2,2,2 Nits
3,2,3 Nits
4,2,4 Nits
5,2,5 Nits
6,2,6 Nits
7,2,7 Nits
8,2,8 Nits
9,2,9 Nits
10,2,10 Nits
11,2,11 Nits
12,2,12 Nits
13,2,13 Nits i més
