PROVINCE_KEY,PROVINCE_ID,PROVINCE_CODE_ID,PROVINCE_DES,PROVINCE_NORM_DES,REGION_KEY,COUNTRY_KEY,LOAD_TIME
-3,**,**,No Informado,NO INFORMADO,-3,-3,
1,ES-VI,VI,Araba/Álava,ALAVA,16,64,
2,ES-AB,AB,Albacete,ALBACETE,8,64,
3,ES-A,A,Alicante/Alacant,ALICANTE,10,64,
4,ES-AL,AL,Almería,ALMERIA,1,64,
5,ES-AV,AV,Ávila,AVILA,7,64,
6,ES-BA,BA,Badajoz,BADAJOZ,11,64,
7,ES-PM,PM,Islas Baleares,ISLAS BALEARES,4,64,
8,ES-B,B,Barcelona,BARCELONA,9,64,
9,ES-BU,BU,Burgos,BURGOS,7,64,
10,ES-CC,CC,Cáceres,CACERES,11,64,
11,ES-CA,CA,Cádiz,CADIZ,1,64,
12,ES-CS,CS,Castellón/Castelló,CASTELLON,10,64,
13,ES-CR,CR,Ciudad Real,CIUDAD REAL,8,64,
14,ES-CO,CO,Córdoba,CORDOBA,1,64,
15,ES-C,C,A Coruña,A CORUÑA,12,64,
16,ES-CU,CU,Cuenca,CUENCA,8,64,
17,ES-GI,GI,Girona,GIRONA,9,64,
18,ES-GR,GR,Granada,GRANADA,1,64,
19,ES-GU,GU,Guadalajara,GUADALAJARA,8,64,
20,ES-SS,SS,Gipuzkoa,GIPUZKOA,16,64,
21,ES-H,H,Huelva,HUELVA,1,64,
22,ES-HU,HU,Huesca,HUESCA,2,64,
23,ES-J,J,Jaén,JAEN,1,64,
24,ES-LE,LE,León,LEON,7,64,
25,ES-L,L,Lleida,LLEIDA,9,64,
26,ES-LO,LO,La Rioja,LA RIOJA,17,64,
27,ES-LU,LU,Lugo,LUGO,12,64,
28,ES-M,M,Madrid,MADRID,13,64,
29,ES-MA,MA,Málaga,MALAGA,1,64,
30,ES-MU,MU,Murcia,MURCIA,14,64,
31,ES-NA,NA,Navarra,NAVARRA,15,64,
32,ES-OR,OR,Ourense,OURENSE,12,64,
33,ES-O,O,Asturias,ASTURIAS,3,64,
34,ES-P,P,Palencia,PALENCIA,7,64,
35,ES-GC,GC,Las Palmas,LAS PALMAS,5,64,
36,ES-PO,PO,Pontevedra,PONTEVEDRA,12,64,
37,ES-SA,SA,Salamanca,SALAMANCA,7,64,
38,ES-TF,TF,Santa Cruz de Tenerife,SANTA CRUZ DE TENERIFE,5,64,
39,ES-S,S,Cantabria,CANTABRIA,6,64,
40,ES-SG,SG,Segovia,SEGOVIA,7,64,
41,ES-SE,SE,Sevilla,SEVILLA,1,64,
42,ES-SO,SO,Soria,SORIA,7,64,
43,ES-T,T,Tarragona,TARRAGONA,9,64,
44,ES-TE,TE,Teruel,TERUEL,2,64,
45,ES-TO,TO,Toledo,TOLEDO,8,64,
46,ES-V,V,Valencia/València,VALENCIA,10,64,
47,ES-VA,VA,Valladolid,VALLADOLID,7,64,
48,ES-BI,BI,Bizkaia,BIZKAIA,16,64,
49,ES-ZA,ZA,Zamora,ZAMORA,7,64,
50,ES-Z,Z,Zaragoza,ZARAGOZA,2,64,
51,ES-CE,CE,Ceuta,CEUTA,18,64,
52,ES-ML,ML,Melilla,MELILLA,19,64,
53,**,**,Extranjero,EXTRANJERO,29,266,
