WEEK_YEAR_KEY,WEEK_KEY,WEEK_YEAR_SHORT_DES,MONTH_YEAR_KEY,MONTH_KEY,MONTH_YEAR_SHORT_DES,YEAR_WEEK_KEY,LOAD_TIME
190001,1,1900W01,190001,1,Jan 1900,1900,
190002,2,1900W02,190001,1,Jan 1900,1900,
190003,3,1900W03,190001,1,Jan 1900,1900,
190004,4,1900W04,190001,1,Jan 1900,1900,
190005,5,1900W05,190001,1,Jan 1900,1900,
190006,6,1900W06,190002,2,Feb 1900,1900,
190007,7,1900W07,190002,2,Feb 1900,1900,
190008,8,1900W08,190002,2,Feb 1900,1900,
190009,9,1900W09,190002,2,Feb 1900,1900,
190010,10,1900W10,190003,3,Mar 1900,1900,
190011,11,1900W11,190003,3,Mar 1900,1900,
190012,12,1900W12,190003,3,Mar 1900,1900,
190013,13,1900W13,190003,3,Mar 1900,1900,
190014,14,1900W14,190004,4,Apr 1900,1900,
190015,15,1900W15,190004,4,Apr 1900,1900,
190016,16,1900W16,190004,4,Apr 1900,1900,
190017,17,1900W17,190004,4,Apr 1900,1900,
190018,18,1900W18,190004,4,Apr 1900,1900,
190019,19,1900W19,190005,5,May 1900,1900,
190020,20,1900W20,190005,5,May 1900,1900,
190021,21,1900W21,190005,5,May 1900,1900,
190022,22,1900W22,190005,5,May 1900,1900,
190023,23,1900W23,190006,6,Jun 1900,1900,
190024,24,1900W24,190006,6,Jun 1900,1900,
190025,25,1900W25,190006,6,Jun 1900,1900,
190026,26,1900W26,190006,6,Jun 1900,1900,
190027,27,1900W27,190007,7,Jul 1900,1900,
190028,28,1900W28,190007,7,Jul 1900,1900,
190029,29,1900W29,190007,7,Jul 1900,1900,
190030,30,1900W30,190007,7,Jul 1900,1900,
190031,31,1900W31,190007,7,Jul 1900,1900,
190032,32,1900W32,190008,8,Aug 1900,1900,
190033,33,1900W33,190008,8,Aug 1900,1900,
190034,34,1900W34,190008,8,Aug 1900,1900,
190035,35,1900W35,190008,8,Aug 1900,1900,
190036,36,1900W36,190009,9,Sep 1900,1900,
190037,37,1900W37,190009,9,Sep 1900,1900,
190038,38,1900W38,190009,9,Sep 1900,1900,
190039,39,1900W39,190009,9,Sep 1900,1900,
190040,40,1900W40,190010,10,Oct 1900,1900,
190041,41,1900W41,190010,10,Oct 1900,1900,
190042,42,1900W42,190010,10,Oct 1900,1900,
190043,43,1900W43,190010,10,Oct 1900,1900,
190044,44,1900W44,190010,10,Oct 1900,1900,
190045,45,1900W45,190011,11,Nov 1900,1900,
190046,46,1900W46,190011,11,Nov 1900,1900,
190047,47,1900W47,190011,11,Nov 1900,1900,
190048,48,1900W48,190011,11,Nov 1900,1900,
190049,49,1900W49,190012,12,Dec 1900,1900,
190050,50,1900W50,190012,12,Dec 1900,1900,
190051,51,1900W51,190012,12,Dec 1900,1900,
190052,52,1900W52,190012,12,Dec 1900,1900,
190101,1,1901W01,190012,12,Dec 1900,1901,
190102,2,1901W02,190101,1,Jan 1901,1901,
190103,3,1901W03,190101,1,Jan 1901,1901,
190104,4,1901W04,190101,1,Jan 1901,1901,
190105,5,1901W05,190101,1,Jan 1901,1901,
190106,6,1901W06,190102,2,Feb 1901,1901,
190107,7,1901W07,190102,2,Feb 1901,1901,
190108,8,1901W08,190102,2,Feb 1901,1901,
190109,9,1901W09,190102,2,Feb 1901,1901,
190110,10,1901W10,190103,3,Mar 1901,1901,
190111,11,1901W11,190103,3,Mar 1901,1901,
190112,12,1901W12,190103,3,Mar 1901,1901,
190113,13,1901W13,190103,3,Mar 1901,1901,
190114,14,1901W14,190104,4,Apr 1901,1901,
190115,15,1901W15,190104,4,Apr 1901,1901,
190116,16,1901W16,190104,4,Apr 1901,1901,
190117,17,1901W17,190104,4,Apr 1901,1901,
190118,18,1901W18,190104,4,Apr 1901,1901,
190119,19,1901W19,190105,5,May 1901,1901,
190120,20,1901W20,190105,5,May 1901,1901,
190121,21,1901W21,190105,5,May 1901,1901,
190122,22,1901W22,190105,5,May 1901,1901,
190123,23,1901W23,190106,6,Jun 1901,1901,
190124,24,1901W24,190106,6,Jun 1901,1901,
190125,25,1901W25,190106,6,Jun 1901,1901,
190126,26,1901W26,190106,6,Jun 1901,1901,
190127,27,1901W27,190107,7,Jul 1901,1901,
190128,28,1901W28,190107,7,Jul 1901,1901,
190129,29,1901W29,190107,7,Jul 1901,1901,
190130,30,1901W30,190107,7,Jul 1901,1901,
190131,31,1901W31,190107,7,Jul 1901,1901,
190132,32,1901W32,190108,8,Aug 1901,1901,
190133,33,1901W33,190108,8,Aug 1901,1901,
190134,34,1901W34,190108,8,Aug 1901,1901,
190135,35,1901W35,190108,8,Aug 1901,1901,
190136,36,1901W36,190109,9,Sep 1901,1901,
