PURCHASE_KEY,LANGUAGE_KEY,PURCHASE_DES,LOAD_TIME
-3,1,No Informado,
1,1,En el mismo día,
2,1,de 2 a 7 días,
3,1,de 8 a 15 días,
4,1,de 16 a 30 días,
5,1,de 31 a 90 días,
6,1,Más de 3 meses,
7,1,No procede,
-3,2,Not Informed,
1,2,On the same day,
2,2,2 to 7 days,
3,2,8 to 15 days,
4,2,16 to 30 days,
5,2,31 to 90 days,
6,2,More than 3 months,
7,2,Not applicable,
-3,3,No Informat,
1,3,En el mateix dia,
2,3,de 2 a 7 dies,
3,3,de 8 a 15 dies,
4,3,de 16 a 30 dies,
5,3,de 31 a 90 dies,
6,3,Més de 3 mesos,
7,3,No procedix,
