BOOKING_KEY,BOOKING_TRANSP_ID,BOOKING_ACCOM_ID,BOOKING_PAQ_ID,BOOKING_DES,LOAD_TIME
-3,*********,*********,*********,No Informado,
1,7,10,3,No sabe / No contesta,
2,-2,5,-2,"A través de página web especializada (AirBnb, Homeaway, Homelidays,  Niumba, Rentalia, Housetrip, Wimdu, Interhome, Friendly Rentals)",
3,5,-2,-2,A través de web o App,
4,6,-2,-2,"Directamente con el conductor presencialemnte, por mail o por teléfono",
5,-2,1,-2,Directamente con el hotel a través de su web o App,
6,-2,2,-2,"Directamente con el hotel presencialmente, por mail o por teléfono",
7,-2,6,-2,Directamente con el propietario a través de su web o App,
8,-2,7,-2,"Directamente con el propietario presencialmente, por mail o por teléfono",
9,1,-2,-2,Directamente con la compañía a través de su web o App,
10,2,-2,-2,"Directamente con la compañía presencialmente, por mail o por teléfono",
11,3,3,1,En una agencia de viajes o touroperador a través de su web o App,
12,4,4,2,"En una agencia de viajes o touroperador presencialmente, por mail o por teléfono",
13,-2,8,-2,En una agencia inmobiliaria a través de su web o App,
14,-2,9,-2,"En una agencia inmobiliaria presencialmente, por mail o por teléfono",
