BOOKING_KEY,LANGUAGE_KEY,BOOKING_DES,LOAD_TIME
-3,1,No Informado,
1,1,No sabe / No contesta,
2,1,"A través de página web especializada (AirBnb, Homeaway, Homelidays,  Niumba, Rentalia, Housetrip, Wimdu, Interhome, Friendly Rentals)",
3,1,A través de web o App,
4,1,"Directamente con el conductor presencialemnte, por mail o por teléfono",
5,1,Directamente con el hotel a través de su web o App,
6,1,"Directamente con el hotel presencialmente, por mail o por teléfono",
7,1,Directamente con el propietario a través de su web o App,
8,1,"Directamente con el propietario presencialmente, por mail o por teléfono",
9,1,Directamente con la compañía a través de su web o App,
10,1,"Directamente con la compañía presencialmente, por mail o por teléfono",
11,1,En una agencia de viajes o touroperador a través de su web o App,
12,1,"En una agencia de viajes o touroperador presencialmente, por mail o por teléfono",
13,1,En una agencia inmobiliaria a través de su web o App,
14,1,"En una agencia inmobiliaria presencialmente, por mail o por teléfono",
-3,2,Not Informed,
1,2,Don't know / No opinion,
2,2,"Through specialised website (AirBnb, Homeaway, Homelidays, Niumba, Rentalia, Housetrip, Wimdu, Interhome, Friendly Rentals)",
3,2,Via web or App,
4,2,"Directly with the driver in person, by email or by phone",
5,2,Directly with the hotel through their website or App,
6,2,"Directly with the hotel in person, by email or by telephone",
7,2,Directly with the owner through their website or App,
8,2,"Directly with the owner in person, by mail or by telephone",
9,2,Directly with the company via their website or App,
10,2,"Directly with the company in person, by mail or by telephone",
11,2,At a travel agency or tour operator via their website or App,
12,2,"At a travel agency or tour operator in person, by mail or by telephone",
13,2,In a real estate agency through its website or App,
14,2,"In a real estate agency in person, by mail or by telephone",
-3,3,No Informat,
1,3,No sap / No contesta,
2,3,"A través de pàgina web especialitzada (Airbnb, *Homeaway, *Homelidays, *Niumba, *Rentalia, *Housetrip, *Wimdu, *Interhome, *Friendly *Rentals)",
3,3,A través de web o App,
4,3,"Directament amb el conductor *presencialemnte, per mail o per telèfon",
5,3,Directament amb l'hotel a través del seu web o App,
6,3,"Directament amb l'hotel presencialment, per mail o per telèfon",
7,3,Directament amb el propietari a través del seu web o App,
8,3,"Directament amb el propietari presencialment, per mail o per telèfon",
9,3,Directament amb la companyia a través del seu web o App,
10,3,"Directament amb la companyia presencialment, per mail o per telèfon",
11,3,En una agència de viatges o *touroperador a través del seu web o App,
12,3,"En una agència de viatges o *touroperador presencialment, per mail o per telèfon",
13,3,En una agència immobiliària a través del seu web o App,
14,3,"En una agència immobiliària presencialment, per mail o per telèfon",
