ID,KEY_LANGUAGE,DESTINO_DES,LOAD_TIME
298415,1,Dentro de la Comunidad Autónoma,
298416,1,Dentro de la provincia,
298417,1,De otra Comunidad Autónoma,
311240,1,Solo España,
311241,1,Solo extranjero,
311242,1,España y extranjero,
311396,1,Al menos un viaje al extranjero,
298415,2,Within the Autonomous Community,
298416,2,Within the county,
298417,2,From another Autonomous Community,
311240,2,Only Spain,
311241,2,Only abroad,
311242,2,Spain and abroad,
311396,2,At least one trip abroad,
298415,3,Dins de la Comunitat Autònoma,
298416,3,Dins de la província,
298417,3,D'una altra Comunitat Autònoma,
311240,3,Només Espanya,
311241,3,Només estranger,
311242,3,Espanya i estranger,
311396,3,Almenys un viatge a l'estranger,
