ID,LANGUAGE_KEY,CITY_DES,LOAD_TIME
2,1,Álava,
3,1,Albacete,
4,1,Alicante/Alacant,
5,1,Almería,
6,1,Ávila,
7,1,Badajoz,
9,1,Barcelona,
10,1,Burgos,
11,1,Cáceres,
13,1,Castellón,
14,1,Ciudad Real,
15,1,Córdoba,
16,1,A Coruña,
17,1,Cuenca,
21,1,Gipuzkoa,
23,1,Huesca,
24,1,Jaén,
28,1,Lugo,
30,1,Málaga,
33,1,Asturias,
34,1,Palencia,
36,1,Pontevedra,
40,1,Segovia,
42,1,Soria,
45,1,Toledo,
47,1,Valladolid,
49,1,Zamora,
22,1,Huelva,
29,1,Madrid,
35,1,Las Palmas,
48,1,Bizkaia,
8,1,Islas Baleares,
12,1,Cádiz,
18,1,Girona,
19,1,Granada,
20,1,Guadalajara,
31,1,Murcia,
38,1,Santa Cruz de Tenerife,
53,1,Ourense,
25,1,León,
37,1,Salamanca,
41,1,Sevilla,
46,1,Valencia,
51,1,Ceuta,
50,1,Zaragoza,
16473,1,Total Nacional,
32,1,Navarra,
43,1,Tarragona,
44,1,Teruel,
52,1,Melilla,
26,1,Lleida,
39,1,Cantabria,
27,1,La Rioja,
2,2,Álava,
3,2,Albacete,
4,2,Alicante/Alacant,
5,2,Almería,
6,2,Ávila,
7,2,Badajoz,
9,2,Barcelona,
10,2,Burgos,
11,2,Cáceres,
13,2,Castellón,
14,2,Ciudad Real,
15,2,Córdoba,
16,2,A Coruña,
17,2,Cuenca,
21,2,Gipuzkoa,
23,2,Huesca,
24,2,Jaén,
28,2,Lugo,
30,2,Málaga,
33,2,Asturias,
34,2,Palencia,
36,2,Pontevedra,
40,2,Segovia,
42,2,Soria,
45,2,Toledo,
47,2,Valladolid,
49,2,Zamora,
22,2,Huelva,
29,2,Madrid,
35,2,Las Palmas,
48,2,Bizkaia,
8,2,Islas Baleares,
12,2,Cádiz,
18,2,Girona,
19,2,Granada,
20,2,Guadalajara,
31,2,Murcia,
38,2,Santa Cruz de Tenerife,
53,2,Ourense,
25,2,León,
37,2,Salamanca,
41,2,Sevilla,
46,2,Valencia,
51,2,Ceuta,
50,2,Zaragoza,
16473,2,Total Nacional,
32,2,Navarra,
43,2,Tarragona,
44,2,Teruel,
52,2,Melilla,
26,2,Lleida,
39,2,Cantabria,
27,2,La Rioja,
2,3,Àlaba,
3,3,Albacete,
4,3,Alacant,
5,3,Almería,
6,3,Ávila,
7,3,Badajoz,
9,3,Barcelona,
10,3,Burgos,
11,3,Càceres,
13,3,Castelló,
14,3,Ciudad Real,
15,3,Córdoba,
16,3,A Coruña,
17,3,Conca,
21,3,Guipúscoa,
23,3,Huesca,
24,3,Jaén,
28,3,Lugo,
30,3,Màlaga,
33,3,Astúries,
34,3,Palència,
36,3,Pontevedra,
40,3,Segòvia,
42,3,Soria,
45,3,Toledo,
47,3,Valladolid,
49,3,Zamora,
22,3,Huelva,
29,3,Madrid,
35,3,"Palmes, Les",
48,3,Bizkaia,
8,3,Illes Balears,
12,3,Cadis,
18,3,Girona,
19,3,Granada,
20,3,Guadalajara,
31,3,Múrcia,
38,3,Santa Cruz de Tenerife,
53,3,Orense,
25,3,León,
37,3,Salamanca,
41,3,Sevilla,
46,3,València,
51,3,Ceuta,
50,3,Saragossa,
16473,3,Total Nacional,
32,3,Navarresa,
43,3,Tarragona,
44,3,Teruel,
52,3,Melilla,
26,3,Lleida,
39,3,Cantàbria,
27,3,La Rioja,
