ID,LANGUAGE_KEY,PUNTO_TURISTICO_DES,LOAD_TIME
485,1,Málaga,
488,1,Salamanca,
493,1,València,
494,1,Zaragoza,
495,1,Valladolid,
563,1,Barcelona,
568,1,Granada,
571,1,Vitoria-Gasteiz,
572,1,San Sebastián,
888,1,Toledo,
1524,1,Oviedo,
1853,1,Palma,
2131,1,Chiclana de la Frontera,
2537,1,Cartagena,
4581,1,Santiago de Compostela,
4983,1,Cádiz,
6191,1,Alicante,
6827,1,Santa Cruz de Tenerife,
1100,1,Mont-roig del Camp,
2632,1,Vélez-Málaga,
2642,1,Águilas,
4238,1,Motril,
4296,1,"Castell d'Aro, Platja d'Aro i s'Agaró",
4794,1,Benicasim,
5942,1,"Campello, el",
6345,1,Llanes,
492,1,Teruel,
562,1,Badajoz,
566,1,Cuenca,
638,1,Zamora,
3473,1,Cazorla,
7357,1,Albarracín,
8071,1,Benavente,
2135,1,El Puerto de Santa María,
2924,1,Benalmádena,
5957,1,Elx/Elche,
6020,1,Torrevieja,
6338,1,Gijón,
7112,1,Sevilla,
2245,1,Peñíscola,
4295,1,Castelló d'Empúries,
4384,1,Sant Pere Pescador,
4840,1,Oropesa del Mar,
561,1,Ávila,
1431,1,Mogán,
2758,1,Antequera,
2828,1,Nerja,
3363,1,Ponferrada,
6513,1,Tías,
486,1,Ourense,
2836,1,Ronda,
3339,1,Vielha e Mijaran,
6381,1,Villaviciosa,
6504,1,Pájara,
5668,1,Capdepera,
7351,1,Salou,
1405,1,Santa Cruz de la Palma,
1641,1,"Alfàs del Pi, l'",
6817,1,Granadilla de Abona,
6826,1,San Sebastián de la Gomera,
1401,1,Puerto de la Cruz,
1433,1,Las Palmas de Gran Canaria,
1648,1,Benidorm,
2132,1,Jerez de la Frontera,
2639,1,Torremolinos,
2822,1,Marbella,
2941,1,Fuengirola,
5675,1,Eivissa,
2429,1,Mazarrón,
4984,1,Conil de la Frontera,
569,1,León,
1391,1,Arona,
2126,1,Algeciras,
