ID,LANGUAGE_KEY,RESIDENCIA_ORIGEN_DES,LOAD_TIME
9975,1,Total,
19964,1,Residentes en España,
19965,1,Residentes en el Extranjero,
8995,1,Melilla,
8997,1,Andalucía,
8998,1,Aragón,
8999,1,"Asturias, Principado de",
9000,1,"Balears, Illes",
9001,1,Canarias,
9002,1,Cantabria,
9003,1,Castilla y León,
9006,1,Comunitat Valenciana,
9007,1,Extremadura,
9008,1,Galicia,
9009,1,"Madrid, Comunidad de",
9010,1,"Murcia, Región de",
9011,1,"Navarra, Comunidad Foral de",
9015,1,Ceuta,
9946,1,UE28 sin España,
9980,1,Bélgica,
9983,1,Francia,
9987,1,Italia,
9989,1,Portugal,
9998,1,Suiza,
10001,1,Otros Países Europeos,
10011,1,Resto del Mundo,
16473,1,Total Nacional,
370095,1,UE27_2020 sin España,
9995,1,Noruega,
10004,1,Brasil,
10007,1,Japón,
23365,1,Chile,
23379,1,Emiratos Árabes Unidos,
23380,1,Filipinas,
23381,1,India,
9004,1,Castilla - La Mancha,
9005,1,Cataluña,
9961,1,Canadá,
9986,1,Irlanda,
9999,1,Turquía,
10003,1,Argentina,
23399,1,Corea,
23312,1,Marruecos,
10010,1,Resto UE,
10008,1,Australia,
9963,1,Asia (sin Japón),
9993,1,Hungría,
9012,1,País Vasco,
9014,1,Ceuta y Melilla,
9978,1,Alemania,
9960,1,México,
9962,1,Venezuela,
9979,1,Austria,
16420,1,Total,
16432,1,Europa menos UE28,
9985,1,Países Bajos,
9990,1,Reino Unido,
10005,1,Estados Unidos de América,
9981,1,Dinamarca,
9982,1,Finlandia,
9991,1,Suecia,
10006,1,Resto América,
23378,1,China,
23385,1,Israel,
292757,1,Taiwán,
298012,1,Países Nórdicos,
9947,1,África,
9948,1,América (sin EEUU),
9988,1,Luxemburgo,
9996,1,Polonia,
9997,1,República Checa,
23364,1,Colombia,
382515,1,Resto del mundo,
9964,1,Nueva Zelanda,
9965,1,América,
9966,1,Asia,
9994,1,Islandia,
10009,1,Otros Países,
23265,1,República Eslovaca,
9013,1,"Rioja, La",
10000,1,Rusia,
23374,1,Arabia Saudí,
9984,1,Grecia,
23259,1,Rumanía,
23272,1,Andorra,
382495,1,Resto de América,
370030,1,Asia (sin Japón ni China),
9975,2,Total,
19964,2,Residents in Spain,
19965,2,Residents Abroad,
8995,2,Melilla,
8997,2,Andalucía,
8998,2,Aragón,
8999,2,"Asturias, Principado de",
9000,2,"Balears, Illes",
9001,2,Canarias,
9002,2,Cantabria,
9003,2,Castilla y León,
9006,2,Comunitat Valenciana,
9007,2,Extremadura,
9008,2,Galicia,
9009,2,"Madrid, Comunidad de",
9010,2,"Murcia, Región de",
9011,2,"Navarra, Comunidad Foral de",
9015,2,Ceuta,
9946,2,EU28 without Spain,
9980,2,Belgium,
9983,2,France,
9987,2,Italy,
9989,2,Portugal,
9998,2,Switzerland,
10001,2,Other European Countries,
10011,2,Rest of the World,
16473,2,National Total,
370095,2,EU27_2020 without Spain,
9995,2,Norway,
10004,2,Brazil,
10007,2,Japan,
23365,2,Chile,
23379,2,United Arab Emirates,
23380,2,Philippines,
23381,2,India,
9004,2,Castilla - La Mancha,
9005,2,Cataluña,
9961,2,Canada,
9986,2,Ireland,
9999,2,Turkey,
10003,2,Argentina,
23399,2,Korea,
23312,2,Morocco,
10010,2,Rest of EU,
10008,2,Australia,
9963,2,Asia (excluding Japan),
