ID,LANGUAGE_KEY,TIPO_DATO_DES,LOAD_TIME
72,1,Dato base,
76,1,Tasa de variación interanual,
77,1,Porcentaje,
83,1,Índice,
8911,1,Coeficiente de variación,
298086,1,Acumulado en lo que va de año,
15278,1,Tasa de variación acumulada,
81,1,Tasa de variación anual,
74,1,Variación anual,
298087,1,Variación anual del acumulado en lo que va de año,
311219,1,Porcentaje sobre el total de no viajeros,
311220,1,Porcentaje sobre personas de la categoría,
311222,1,Porcentaje sobre el total de viajeros,
298960,1,Distribución porcentual del acumulado,
283942,1,Errores de muestreo relativos,
72,2,Base data,
76,2,Year-on-year rate of change,
77,2,Percentage,
83,2,Index,
8911,2,Coefficient of change,
298086,2,Cumulative year-to-date,
15278,2,Cumulative rate of change,
81,2,Annual rate of change,
74,2,Annual change,
298087,2,Year-to-date cumulative annual change,
311219,2,Percentage over total non-travellers,
311220,2,Percentage over persons in the category,
311222,2,Percentage over total number of travellers,
298960,2,Percentage distribution of cumulative,
283942,2,Relative sampling errors,
72,3,Dada base,
76,3,Taxa de variació interanual,
77,3,Percentatge,
83,3,Índex,
8911,3,Coeficient de variació,
298086,3,Acumulat en el que va d'any,
15278,3,Taxa de variació acumulada,
81,3,Taxa de variació anual,
74,3,Variació anual,
298087,3,Variació anual de l'acumulat en el que va d'any,
311219,3,Percentatge sobre el total de no viatgers,
311220,3,Percentatge sobre persones de la categoria,
311222,3,Percentatge sobre el total de viatgers,
298960,3,Distribució percentual de l'acumulat,
283942,3,Errors de mostreig relatius,
