ID,LANGUAGE_KEY,ESTABLECIMIENTO_DES,LOAD_TIME
284340,1,Casa Rural,
292961,1,Total,
292963,1,No de mercado,
292964,1,Vivienda en alquiler,
292965,1,Vivienda de familiares o amigos,
292974,1,Camping,
292977,1,Vivienda en propiedad,
292981,1,Resto de mercado,
298418,1,Hotelero,
298457,1,De mercado,
298458,1,Resto de no mercado,
299067,1,Resto de mercado,
299068,1,Resto de no mercado,
299070,1,Albergue,
292960,1,Albergue juvenil,
383096,1,Peregrinos del Camino de Santiago,
303833,1,Resto de mercado,
383097,1,Albergue turístico,
292966,1,Hoteles o apartahotel,
284343,1,Apartamentos de 4/6 plazas,
284349,1,Total apartamentos,
298482,1,Resto de mercado,
284341,1,Estudio,
284342,1,Apartamentos de 2/4 plazas,
284340,2,Rural cottage,
292961,2,Total,
292963,2,Non-market,
292964,2,Rented housing,
292965,2,Family or friend's home,
292974,2,Camping site,
292977,2,Owned housing,
292981,2,Rest of market,
298418,2,Hotel,
298457,2,Market,
298458,2,Rest of non-market,
299067,2,Rest of market,
299068,2,Rest of non-market,
299070,2,Hostel,
292960,2,Youth hostel,
383096,2,Pilgrims on the Camino de Santiago,
303833,2,Rest of market,
383097,2,Tourist hostel,
292966,2,Hotels or aparthotel,
284343,2,Flats for 4/6 people,
284349,2,Total flats,
298482,2,Rest of the market,
284341,2,Studio,
284342,2,2/4 capacity flats,
284340,3,Casa Rural,
292961,3,Total,
292963,3,No de mercat,
292964,3,Vivenda en lloguer,
292965,3,Vivenda de familiars o amics,
292974,3,Càmping,
292977,3,Vivenda en propietat,
292981,3,Resta de mercat,
298418,3,Hoteler,
298457,3,De mercat,
298458,3,Resta de no mercat,
299067,3,Resta de mercat,
299068,3,Resta de no mercat,
299070,3,Alberg,
292960,3,Alberg juvenil,
383096,3,Pelegrins del Camí de Santiago,
303833,3,Resta de mercat,
383097,3,Alberg turístic,
292966,3,Hotels o apartahotel,
284343,3,Apartaments de 4/6 places,
284349,3,Total apartaments,
298482,3,Resta de mercat,
284341,3,Estudi,
284342,3,Apartaments de 2/4 places,
