ID,LANGUAGE_KEY,TRANSPORTE_DES,LOAD_TIME
298016,1,Transporte aereo,
298017,1,Transporte marítimo,
298018,1,Carretera,
298019,1,Transporte por ferrocarril,
298456,1,Total,
298026,1,Transporte por autobús,
298028,1,Otro medio de transporte,
298461,1,Vehículo propio,
298016,2,Air transport,
298017,2,Maritime transport,
298018,2,Road,
298019,2,Rail transport,
298456,2,Total,
298026,2,Bus transport,
298028,2,Other means of transport,
298461,2,Own vehicle,
298016,3,Transport aereo,
298017,3,Transport marítim,
298018,3,Carretera,
298019,3,Transport per ferrocarril,
298456,3,Total,
298026,3,Transport per autobús,
298028,3,Altre mitjà de transport,
298461,3,Vehicle propi,
