ID,LANGUAGE_KEY,TIPO_VIAJE_DES,LOAD_TIME
291938,1,Total,
291939,1,Vacaciones de Semana Santa,
291940,1,Vacaciones de verano,
291941,1,Vacaciones de Navidad,
291942,1,Fin de semana y puente,
291943,1,Puente,
291944,1,Otros viajes,
298462,1,Trabajo,
298463,1,Estudio,
298464,1,Desplazamiento al centro de trabajo,
298471,1,Trabajo y estudios,
298422,1,Fin de semana,
298465,1,Desplazamiento al centro de estudio,
291938,2,Total,
291939,2,Easter holidays,
291940,2,Summer holidays,
291941,2,Christmas holidays,
291942,2,Weekend and long weekend,
291943,2,Long weekend,
291944,2,Other trips,
298462,2,Work,
298463,2,Study,
298464,2,Commuting to work,
298471,2,Work and study,
298422,2,Weekend,
298465,2,Commuting to the study centre,
291938,3,Total,
291939,3,Vacacions de Setmana Santa,
291940,3,Vacacions d'estiu,
291941,3,Vacacions de Nadal,
291942,3,Cap de setmana i pont,
291943,3,Puente,
291944,3,Uns altres viatges,
298462,3,Treball,
298463,3,Estudi,
298464,3,Desplaçament al centre de treball,
298471,3,Treball i estudis,
298422,3,Cap de setmana,
298465,3,Desplaçament al centre d'estudi,
