ID,LANGUAGE_KEY,ZONA_TURISTICA_DES,LOAD_TIME
9908,1,Andalucía: Costa De Almería,
9909,1,Andalucía: Costa De La Luz De Cádiz,
9910,1,Andalucía: Costa De La Luz (Huelva),
9911,1,Andalucía: Costa Del Sol (Málaga),
9912,1,Andalucía: Costa Tropical (Granada),
9916,1,Baleares (Illes): Islas De Ibiza-Formentera,
9917,1,Baleares (Illes): Palma - Calvía,
9918,1,Canarias: Isla De Fuerteventura,
9919,1,Canarias: Isla De Gran Canaria,
9920,1,Canarias: Isla De Hierro,
9922,1,Canarias: Isla De La Palma,
9923,1,Canarias: Isla De Lanzarote,
9925,1,Canarias: Sur De Gran Canaria (Las Palmas),
9930,1,Cataluña: Costa Del Garraf,
9931,1,Cataluña: Costa Barcelona-Maresme,
9932,1,Comunitat Valenciana: Costa Azahar,
9933,1,Comunitat Valenciana: Costa Blanca,
9935,1,Galicia: Costa A Mariña Lucense (Lugo),
9936,1,Galicia: Costa Da Morte (A Coruña),
9940,1,Pais Vasco: Costa Guipuzkoa,
9945,1,Pirineo Vasco,
284066,1,Cataluña: Terres de Lleida,
284068,1,Cataluña: Vall d'Aran,
9914,1,Baleares (Illes): Isla De Mallorca,
9921,1,Canarias: Isla De La Gomera,
9929,1,Cataluña: Barcelona,
9939,1,Murcia (Región De): Costa Cálida,
284067,1,Cataluña: Cataluña Central,
298992,1,Cataluña: Costa Barcelona 2016,
9915,1,Baleares (Illes): Isla De Menorca,
9938,1,Galicia: Rías Baixas (Pontevedra y A Coruña),
292667,1,Cataluña: Costa Barcelona 2015,
9864,1,P. Natural Los Alcornocales,
9865,1,P. Natural Sierra de Hornachuelos,
9886,1,P. Natural Serra Calderona,
9901,1,P. Nacional Sierra de las Nieves,
9902,1,P. Natural Sierra y Cañones de Guara,
9904,1,P. Natural de los Aiguamolls de I'Empordá,
311085,1,P. Nacional de Sierra de Guadarrama,
9874,1,P. Natural Saja-Besaya,
9876,1,P. Natural Las Batuecas-Sierra de Francia,
9881,1,"P. Natural Calares y Cabeceras de los ríos Mundo, Tus y Guadalimar",
9888,1,P. Natural Hoces del Cabriel,
9891,1,P. Natural Pagoeta,
9870,1,P. Natural Sierra Norte de Sevilla,
9875,1,P. Natural Fuentes Carrionas y Fuente de Cobre,
9879,1,P. Natural Cañón del Rio Lobos,
9887,1,P. Natural Serra de Mariola,
9892,1,P. Natural Urkiola,
9924,1,Canarias: Isla De Tenerife,
9927,1,Cataluña: Costa Brava,
9934,1,Comunitat Valenciana: Costa Valencia,
9937,1,Galicia: Rías Altas (A Coruña),
9944,1,Pirineo Navarro,
284065,1,Cataluña: Terres de l'Ebre,
298020,1,Extremadura: Norte de Extremadura,
9913,1,Asturias (Principado De): Costa Verde,
9926,1,Canarias: Sur De Tenerife (Tenerife),
9943,1,Pirineo Catalán,
23223,1,Cataluña: Costa Barcelona,
9928,1,Cataluña: Costa Daurada,
9857,1,P. Nacional Sierra Nevada,
9863,1,P. Nacional Aigüestortes,
9867,1,P. Natural Sierra Nevada,
9882,1,P. Natural Zona Volcánica de la Garrotxa,
9883,1,P. Natural Cadí-Moixeró,
9897,1,P. Natural Sierra de Grazalema,
9905,1,P. Natural Alt Pirineu,
9859,1,P. Nacional Garajonay,
9860,1,P. Nacional Taburiente,
9868,1,"P. Natural Sierras de Tejeda, Almijara y Alhama",
9869,1,P. Natural Sierra de Aracena y Picos de Aroche,
9872,1,P. Natural Tamadaba,
9877,1,P. Natural Arribes del Duero,
9878,1,P. Natural Hoces del Duraton,
9880,1,P. Natural Alto Tajo,
9889,1,P. Natural Aiako Harria,
9858,1,P. Nacional Picos de Europa,
9866,1,P. Natural Sierras Subbéticas,
9871,1,"P. Natural Fuentes del Narcea, Degaña e Ibias",
9884,1,P. Natural Montseny,
9885,1,P. Natural Delta de I'Ebre,
298676,1,P. Natural Corona Forestal,
9942,1,Pirineo Aragonés,
9941,1,Pais Vasco: Costa Bizkaia,
23085,1,Pirineus,
23224,1,Comunitat Valenciana: Costa de Castellón,
9895,1,P. Natural Doñana,
9900,1,"P. Natural Sierras de Cazorla, Segura y las Villas",
292666,1,Cataluña: Paisatges Barcelona,
9861,1,P. Nacional Teide,
9862,1,P. Nacional Cabañeros,
9890,1,P. Natural Gorbeia,
9894,1,P. Nacional Ordesa,
9873,1,P. Natural Oyambre,
9908,2,Andalucía: Costa De Almería,
9909,2,Andalucía: Costa De La Luz De Cádiz,
9910,2,Andalucía: Costa De La Luz (Huelva),
9911,2,Andalucía: Costa Del Sol (Málaga),
9912,2,Andalucía: Costa Tropical (Granada),
9916,2,Baleares (Illes): Islas De Ibiza-Formentera,
9917,2,Baleares (Illes): Palma - Calvía,
9918,2,Canarias: Isla De Fuerteventura,
9919,2,Canarias: Isla De Gran Canaria,
9920,2,Canarias: Isla De Hierro,
9922,2,Canarias: Isla De La Palma,
9923,2,Canarias: Isla De Lanzarote,
9925,2,Canarias: Sur De Gran Canaria (Las Palmas),
9930,2,Cataluña: Costa Del Garraf,
9931,2,Cataluña: Costa Barcelona-Maresme,
9932,2,Comunitat Valenciana: Costa Azahar,
9933,2,Comunitat Valenciana: Costa Blanca,
9935,2,Galicia: Costa A Mariña Lucense (Lugo),
9936,2,Galicia: Costa Da Morte (A Coruña),
9940,2,Pais Vasco: Costa Guipuzkoa,
9945,2,Pirineo Vasco,
284066,2,Cataluña: Terres de Lleida,
284068,2,Cataluña: Vall d'Aran,
9914,2,Baleares (Illes): Isla De Mallorca,
9921,2,Canarias: Isla De La Gomera,
9929,2,Cataluña: Barcelona,
9939,2,Murcia (Región De): Costa Cálida,
284067,2,Cataluña: Cataluña Central,
298992,2,Cataluña: Costa Barcelona 2016,
9915,2,Baleares (Illes): Isla De Menorca,
9938,2,Galicia: Rías Baixas (Pontevedra y A Coruña),
292667,2,Cataluña: Costa Barcelona 2015,
9864,2,P. Natural Los Alcornocales,
9865,2,P. Natural Sierra de Hornachuelos,
9886,2,P. Natural Serra Calderona,
9901,2,P. Nacional Sierra de las Nieves,
9902,2,P. Natural Sierra y Cañones de Guara,
9904,2,P. Natural de los Aiguamolls de I'Empordá,
311085,2,P. Nacional de Sierra de Guadarrama,
9874,2,P. Natural Saja-Besaya,
9876,2,P. Natural Las Batuecas-Sierra de Francia,
9881,2,"P. Natural Calares y Cabeceras de los ríos Mundo, Tus y Guadalimar",
9888,2,P. Natural Hoces del Cabriel,
9891,2,P. Natural Pagoeta,
9870,2,P. Natural Sierra Norte de Sevilla,
9875,2,P. Natural Fuentes Carrionas y Fuente de Cobre,
9879,2,P. Natural Cañón del Rio Lobos,
9887,2,P. Natural Serra de Mariola,
9892,2,P. Natural Urkiola,
9924,2,Canarias: Isla De Tenerife,
9927,2,Cataluña: Costa Brava,
9934,2,Comunitat Valenciana: Costa Valencia,
9937,2,Galicia: Rías Altas (A Coruña),
9944,2,Pirineo Navarro,
284065,2,Cataluña: Terres de l'Ebre,
298020,2,Extremadura: Norte de Extremadura,
9913,2,Asturias (Principado De): Costa Verde,
9926,2,Canarias: Sur De Tenerife (Tenerife),
9943,2,Pirineo Catalán,
23223,2,Cataluña: Costa Barcelona,
9928,2,Cataluña: Costa Daurada,
9857,2,P. Nacional Sierra Nevada,
9863,2,P. Nacional Aigüestortes,
9867,2,P. Natural Sierra Nevada,
9882,2,P. Natural Zona Volcánica de la Garrotxa,
9883,2,P. Natural Cadí-Moixeró,
9897,2,P. Natural Sierra de Grazalema,
9905,2,P. Natural Alt Pirineu,
9859,2,P. Nacional Garajonay,
9860,2,P. Nacional Taburiente,
9868,2,"P. Natural Sierras de Tejeda, Almijara y Alhama",
9869,2,P. Natural Sierra de Aracena y Picos de Aroche,
9872,2,P. Natural Tamadaba,
9877,2,P. Natural Arribes del Duero,
9878,2,P. Natural Hoces del Duraton,
9880,2,P. Natural Alto Tajo,
9889,2,P. Natural Aiako Harria,
9858,2,P. Nacional Picos de Europa,
9866,2,P. Natural Sierras Subbéticas,
9871,2,"P. Natural Fuentes del Narcea, Degaña e Ibias",
9884,2,P. Natural Montseny,
9885,2,P. Natural Delta de I'Ebre,
298676,2,P. Natural Corona Forestal,
9942,2,Pirineo Aragonés,
9941,2,Pais Vasco: Costa Bizkaia,
23085,2,Pirineus,
23224,2,Comunitat Valenciana: Costa de Castellón,
9895,2,P. Natural Doñana,
9900,2,"P. Natural Sierras de Cazorla, Segura y las Villas",
292666,2,Cataluña: Paisatges Barcelona,
9861,2,P. Nacional Teide,
9862,2,P. Nacional Cabañeros,
9890,2,P. Natural Gorbeia,
9894,2,P. Nacional Ordesa,
9873,2,P. Natural Oyambre,
9908,3,Andalusia: Costa D'Almeria,
9909,3,Andalusia: Costa De La Llum De Cadis,
9910,3,Andalusia: Costa De La Llum (Huelva),
9911,3,Andalusia: Costa del Sol (Màlaga),
9912,3,Andalusia: Costa Tropical (Granada),
9916,3,Balears (Illes): Illes D'Eivissa-Formentera,
9917,3,Balears (Illes): Palma - Calvía,
9918,3,Canàries: Illa De Fuerteventura,
9919,3,Canàries: Illa De Gran Canària,
9920,3,Canàries: Illa De Ferro,
9922,3,Canàries: Illa De La Palma,
9923,3,Canàries: Illa De Lanzarote,
9925,3,Canàries: Sud De Gran Canària (Las Palmas),
9930,3,Catalunya: Costa Del Garraf,
9931,3,Catalunya: Costa Barcelona-Maresme,
9932,3,Comunitat Valenciana: Costa Flor del taronger,
9933,3,Comunitat Valenciana: Costa Blanca,
9935,3,Galícia: Costa A Mariña De Lugo (Lugo),
9936,3,Galícia: Costa Dona Morte (la Corunya),
9940,3,Pais Basc: Costa Guipuzkoa,
9945,3,Pirineu Basc,
284066,3,Catalunya: Terres de Lleida,
284068,3,Catalunya: Vall d'Aran,
9914,3,Balears (Illes): Illa De Mallorca,
9921,3,Canàries: Illa De La Gomera,
9929,3,Catalunya: Barcelona,
9939,3,Múrcia (Regió De): Costa Càlida,
284067,3,Catalunya: Catalunya Central,
298992,3,Catalunya: Costa Barcelona 2016,
9915,3,Balears (Illes): Illa De Menorca,
9938,3,Galícia: Ries Baixas (Pontevedra i la Corunya),
292667,3,Catalunya: Costa Barcelona 2015,
9864,3,P. Natural Les Suredes,
9865,3,P. Natural Sierra de Hornachuelos,
9886,3,P. Natural Serra Calderona,
9901,3,P. Nacional Sierra de les Neus,
9902,3,P. Natural Sierra i Canons de Guara,
9904,3,P. Natural dels Aiguamolls d'I'Empordá,
311085,3,P. Nacional de Sierra de Guadarrama,
9874,3,P. Natural Saja-Besaya,
9876,3,P. Natural Les Batuecas-Sierra de França,
9881,3,"P. Natural Calares i Capçaleres dels rius Món, Els teus i Guadalimar",
9888,3,P. Natural Falçs del Cabriol,
9891,3,P. Natural Pagoeta,
9870,3,P. Natural Sierra Nord de Sevilla,
9875,3,P. Natural Fuentes Carrionas i Font de Coure,
9879,3,P. Natural Canó del Rio Llops,
9887,3,P. Natural Serra de Mariola,
9892,3,P. Natural Urkiola,
9924,3,Canàries: Illa De Tenerife,
9927,3,Catalunya: Costa Brava,
9934,3,Comunitat Valenciana: Costa València,
9937,3,Galícia: Ries Altes (la Corunya),
9944,3,Pirineu Navarro,
284065,3,Catalunya: Terres de l'Ebre,
298020,3,Extremadura: Nord d'Extremadura,
9913,3,Astúries (Principat De): Costa Verda,
9926,3,Canàries: Sud De Tenerife (Tenerife),
9943,3,Pirineu Català,
23223,3,Catalunya: Costa Barcelona,
9928,3,Catalunya: Costa Daurada,
9857,3,P. Nacional Sierra Nevada,
9863,3,P. Nacional Aigüestortes,
9867,3,P. Natural Sierra Nevada,
9882,3,P. Natural Zona Volcànica de la Garrotxa,
9883,3,P. Natural Cadi-Moixeró,
9897,3,P. Natural Sierra de Grazalema,
9905,3,P. Natural Alt Pirineu,
9859,3,P. Nacional Garajonay,
9860,3,P. Nacional Taburiente,
9868,3,"P. Natural Serres de Tejeda, Almijara i Alhama",
9869,3,P. Natural Sierra d'Aracena i Pics de Aroche,
9872,3,P. Natural Tamadaba,
9877,3,P. Natural Arribes del Duero,
9878,3,P. Natural Falçs del Duraton,
9880,3,P. Natural Alt Tajo,
9889,3,P. Natural Aiako Harria,
9858,3,P. Nacional Pics d'Europa,
9866,3,P. Natural Serres Subbétiques,
9871,3,"P. Natural Fonts del Narcea, Degaña i Ibias",
9884,3,P. Natural Montseny,
9885,3,P. Natural Delta d'I'Ebre,
298676,3,P. Natural Corona Forestal,
9942,3,Pirinenc Aragonés,
9941,3,Pais Basc: Costa Bizkaia,
23085,3,Pirineus,
23224,3,Comunitat Valenciana: Costa de Castelló,
9895,3,P. Natural Doñana,
9900,3,"P. Natural Serres de Cazorla, Segura i les Viles",
292666,3,Catalunya: Paisatges Barcelona,
9861,3,P. Nacional Teide,
9862,3,P. Nacional Cabañeros,
9890,3,P. Natural Gorbeia,
9894,3,P. Nacional Ordesa,
9873,3,P. Natural Oyambre,
