NIVEL_INGRESOS_KEY,ID,LANGUAGE_KEY,INGRESOS_DES,LOAD_TIME
-3,-3,1,No informado,
1,291541,1,Hasta 999 euros,
2,8778,1,De 1.000 a 1.499 euros,
3,311236,1,De 1.500 a 2.499 euros,
4,311237,1,De 2.500 a 3.499 euros,
5,311238,1,De 3.500 a 4.999 euros,
6,8783,1,5.000 euros o más,
7,311245,1,2.500 euros o más,
8,20227,1,Total,
9,311239,1,No consta,
-3,-3,2,Not informed,
1,291541,2,Up to 999 euros,
2,8778,2,"From 1,000 to 1,499 euros",
3,311236,2,"From 1,500 to 2,499 euros",
4,311237,2,From 2.500 to 3.499 euros,
5,311238,2,"From 3,500 to 4,999 euros",
6,8783,2,"5,000 euros or more",
7,311245,2,"2,500 euros or more",
8,20227,2,Total,
9,311239,2,Not stated,
-3,-3,3,No informat,
1,291541,3,Fins a 999 euros,
2,8778,3,De 1.000 a 1.499 euros,
3,311236,3,De 1.500 a 2.499 euros,
4,311237,3,De 2.500 a 3.499 euros,
5,311238,3,De 3.500 a 4.999 euros,
6,8783,3,5.000 euros o més,
7,311245,3,2.500 euros o més,
8,20227,3,Total,
9,311239,3,No consta,
