TIPO_ESTABLECIMIENTO_KEY,ID,LANGUAGE_KEY,ESTABLECIMIENTO_DES,ESTABLECIMIENTO_PADRE_DES,LOAD_TIME
-3,-3,1,No informado,No informado,
1,292966,1,Hoteles o apartahotel,Hotelero,
2,-2,1,"Pensión, hostal, motel, fonda, casa de huéspedes",Hotelero,
3,292964,1,Vivienda en alquiler,Resto de mercado,
4,-2,1,Habitación en alquiler en vivienda particular,Resto de mercado,
5,-2,1,Alojamiento turismo rural,Resto de mercado,
6,299070,1,Albergue,Resto de mercado,
7,292974,1,Camping,Resto de mercado,
8,-2,1,Crucero,Resto de mercado,
9,292981,1,Resto de mercado,Resto de mercado,
10,292977,1,Vivienda en propiedad,No de mercado,
11,292965,1,Vivienda de familiares o amigos,No de mercado,
12,-2,1,Viviendas de uso compartido (multipropiedad),No de mercado,
13,-2,1,Viviendas intercambiadas,No de mercado,
14,299068,1,Resto de no mercado,No de mercado,
15,284340,1,Casa Rural,Resto de mercado,
16,284341,1,Estudio,No aplica,
17,284342,1,Apartamentos de 2/4 plazas,Resto de mercado,
18,284343,1,Apartamentos de 4/6 plazas,Resto de mercado,
19,284349,1,Total apartamentos,Resto de mercado,
20,292960,1,Albergue juvenil,Resto de mercado,
21,292961,1,Total,No aplica,
22,292963,1,No de mercado,No de mercado,
23,298418,1,Hotelero,Hotelero,
24,298457,1,De mercado,Hotelero,
25,298458,1,Resto de no mercado,No de mercado,
26,298482,1,Resto de mercado,Resto de mercado,
27,299067,1,Resto de mercado,Resto de mercado,
28,303833,1,Resto de mercado,Resto de mercado,
29,383096,1,Peregrinos del Camino de Santiago,Resto de mercado,
30,383097,1,Albergue turístico,Resto de mercado,
31,-2,1,No procede,No procede,
-3,-3,2,Not informed,Not informed,
1,292966,2,Hotels or aparthotel,Hotelier,
2,-2,2,"Guesthouse, hostel, motel, inn, guest house, guest house",Hotelier,
3,292964,2,Rented housing,Rest of market,
4,-2,2,Room for rent in a private dwelling,Rest of market,
5,-2,2,Rural tourism accommodation,Rest of market,
6,299070,2,Hostel,Rest of market,
7,292974,2,Camping site,Rest of market,
8,-2,2,Cruise ship,Rest of market,
9,292981,2,Rest of market,Rest of market,
10,292977,2,Owned housing,Non-market,
11,292965,2,Family or friend's home,Non-market,
12,-2,2,Shared housing (timeshare),Non-market,
13,-2,2,Exchange housing,Non-market,
14,299068,2,Rest of non-market,Non-market,
15,284340,2,Rural cottage,Rest of market,
16,284341,2,Studio,Not applicable,
17,284342,2,2/4 capacity flats,Rest of market,
18,284343,2,Flats for 4/6 people,Rest of market,
19,284349,2,Total flats,Rest of market,
20,292960,2,Youth hostel,Rest of market,
21,292961,2,Total,Not applicable,
22,292963,2,Non-market,Non-market,
23,298418,2,Hotel,Hotel,
24,298457,2,Market,Hotel,
25,298458,2,Rest of non-market,Non-market,
26,298482,2,Rest of the market,Rest of market,
27,299067,2,Rest of market,Rest of market,
28,303833,2,Rest of market,Rest of market,
29,383096,2,Pilgrims on the Camino de Santiago,Rest of market,
30,383097,2,Tourist hostel,Rest of market,
31,-2,2,Not relevant,Not relevant,
-3,-3,3,No informat,No informat,
1,292966,3,Hotels o apartahotel,Hoteler,
2,-2,3,"Pensió, hostal, motel, fonda, casa d'hostes",Hotelera,
3,292964,3,Vivenda en lloguer,Resta de mercat,
4,-2,3,Habitació en lloguer en vivenda particular,Resta de mercat,
5,-2,3,Allotjament turisme rural,Resta de mercat,
6,299070,3,Alberg,Resta de mercat,
7,292974,3,Càmping,Resta de mercat,
8,-2,3,Creuer,Resta de mercat,
9,292981,3,Resta de mercat,Resta de mercat,
10,292977,3,Vivenda en propietat,No de mercat,
11,292965,3,Vivenda de familiars o amics,No de mercat,
12,-2,3,Vivendes d'ús compartit (multipropietat),No de mercat,
13,-2,3,Vivendes intercanviades,No de mercat,
14,299068,3,Resta de no mercat,No de mercat,
15,284340,3,Casa Rural,Resta de mercat,
16,284341,3,Estudi,No aplica,
17,284342,3,Apartaments de 2/4 places,Resta de mercat,
18,284343,3,Apartaments de 4/6 places,Resta de mercat,
19,284349,3,Total apartaments,Resta de mercat,
20,292960,3,Alberg juvenil,Resta de mercat,
21,292961,3,Total,No aplica,
22,292963,3,No de mercat,No de mercat,
23,298418,3,Hoteler,Hoteler,
24,298457,3,De mercat,Hoteler,
25,298458,3,Resta de no mercat,No de mercat,
26,298482,3,Resta de mercat,Resta de mercat,
27,299067,3,Resta de mercat,Resta de mercat,
28,303833,3,Resta de mercat,Resta de mercat,
29,383096,3,Pelegrins del Camí de Santiago,Resta de mercat,
30,383097,3,Alberg turístic,Resta de mercat,
31,-2,3,No procedix,No procedix,
