TIPO_TRANSPORTE_KEY,ID,LANGUAGE_KEY,TRANSPORTE_DES,TRANSPORTE_PADRE_DES,LOAD_TIME
-3,-3,1,No informado,No informado,
1,298016,1,Transporte aereo,Transporte aéreo ,
2,-2,1,Crucero,Transporte Marítimo o Fluvial,
3,-2,1,Ferry,Transporte Marítimo o Fluvial,
4,-2,1,"Embarcación náutica propia, cedida o alquilada",Transporte Marítimo o Fluvial,
5,-2,1,Automóvil u otros vehículos particulares propios o cedidos,Transporte terrestre,
6,-2,1,Automóvil u otros vehículos particulares alquilados sin conductor a empresas de alquiler,Transporte terrestre,
7,-2,1,Taxis u otros vehículos particulares alquilados con conductor a empresas de alquiler o transporte,Transporte terrestre,
8,-2,1,Automóvil u otros vehículos compartidos con pago al conductor,Transporte terrestre,
9,298026,1,Transporte por autobús,Transporte terrestre,
10,298019,1,Transporte por ferrocarril,Transporte terrestre,
11,-2,1,"Transporte terrestre no motorizado (bici, andando, a caballo, …)",Transporte terrestre,
12,298028,1,Otro medio de transporte,Transporte terrestre,
13,298017,1,Transporte marítimo,Transporte Marítimo o Fluvial,
14,298018,1,Carretera,Transporte terrestre,
15,298456,1,Total,No aplica,
16,298461,1,Vehículo propio,Transporte terrestre,
-3,-3,2,Not informed,Not informed,
1,298016,2,Air transport,Air transport ,
2,-2,2,Cruise,Sea or River Transport,
3,-2,2,Ferry,Sea or river transport,
4,-2,2,"Own, rented or leased watercraft",Sea or river transport,
5,-2,2,Own or leased car or other private vehicles,Land transport,
6,-2,2,Car or other private vehicles rented without a driver from rental companies,Land transport,
7,-2,2,Taxis or other private vehicles hired with a driver from hire or transport companies,Land transport,
8,-2,2,Car or other shared vehicles with payment to the driver,Land transport,
9,298026,2,Transport by bus,Land transport,
10,298019,2,Rail transport,Land transport,
11,-2,2,"Non-motorised land transport (cycling, walking, horseback riding, ...)",Land transport,
12,298028,2,Other means of transport,Land transport,
13,298017,2,Maritime transport,Sea or River Transport,
14,298018,2,Road,Land transport,
15,298456,2,Total,Not applicable,
16,298461,2,Own vehicle,Land transport,
-3,-3,3,No informat,No informat,
1,298016,3,Transport *aereo,Transport aeri ,
2,-2,3,Creuer,Transport Marítim o Fluvial,
3,-2,3,Ferri,Transport Marítim o Fluvial,
4,-2,3,"Embarcació nàutica pròpia, cedida o llogada",Transport Marítim o Fluvial,
5,-2,3,Automòbil o altres vehicles particulars propis o cedits,Transport terrestre,
6,-2,3,Automòbil o altres vehicles particulars llogats sense conductor a empreses de lloguer,Transport terrestre,
7,-2,3,Taxis o altres vehicles particulars llogats amb conductor a empreses de lloguer o transporte,Transport terrestre,
8,-2,3,Automòbil o altres vehicles compartits amb pagament al conductor,Transport terrestre,
9,298026,3,Transport per autobús,Transport terrestre,
10,298019,3,Transport per ferrocarril,Transport terrestre,
11,-2,3,"Transport terrestre no motoritzat (bici, caminant, a cavall, …)",Transport terrestre,
12,298028,3,Un altre mitjà de transport,Transport terrestre,
13,298017,3,Transport marítim,Transport Marítim o Fluvial,
14,298018,3,Carretera,Transport terrestre,
15,298456,3,Total,No aplica,
16,298461,3,Vehicle propi,Transport terrestre,
