TIPO_VIAJE_KEY,ID,LANGUAGE_KEY,TIPO_VIAJE_DES,LOAD_TIME
-3,-3,1,No informado,
1,291943,1,Puente,
2,298422,1,Fin de semana,
3,298462,1,Trabajo,
4,298463,1,Estudio,
5,298465,1,Desplazamiento al centro de estudio,
6,298464,1,Desplazamiento al centro de trabajo,
7,291940,1,Vacaciones de verano,
8,291941,1,Vacaciones de Navidad,
9,291939,1,Vacaciones de Semana Santa,
10,291944,1,Otros viajes,
11,291942,1,Fin de semana y puente,
12,298471,1,Trabajo y estudios,
13,291938,1,Total,
-3,-3,2,Not informed,
1,291943,2,Long weekend,
2,298422,2,Weekend,
3,298462,2,Work,
4,298463,2,Study,
5,298465,2,Commuting to the study centre,
6,298464,2,Commuting to work,
7,291940,2,Summer holidays,
8,291941,2,Christmas holidays,
9,291939,2,Easter holidays,
10,291944,2,Other trips,
11,291942,2,Weekend and long weekend,
12,298471,2,Work and study,
13,291938,2,Total,
-3,-3,3,No informat,
1,291943,3,Puente,
2,298422,3,Cap de setmana,
3,298462,3,Treball,
4,298463,3,Estudi,
5,298465,3,Desplaçament al centre d'estudi,
6,298464,3,Desplaçament al centre de treball,
7,291940,3,Vacacions d'estiu,
8,291941,3,Vacacions de Nadal,
9,291939,3,Vacacions de Setmana Santa,
10,291944,3,Uns altres viatges,
11,291942,3,Cap de setmana i pont,
12,298471,3,Treball i estudis,
13,291938,3,Total,
